time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2026/06/04 15:16:11.271204531,1780596971,270989674,20,vilma_interface,MA period: 0.010007 | MA delay: 0.000007,/home/toffanetto/vilma/autoware.vilma02/src/vehicle/external/vilma_interface/vilma_interface/src/vilma_interface.cpp,ma_timer_callback,702
2026/06/04 15:16:11.329788616,1780596971,329466740,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,1,42,06,41,074,44,11,32,024,44,12,26,244,40,14,11,107,40*4F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.331350583,1780596971,331097629,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,2,42,15,34,296,43,19,51,147,48,20,36,333,43,22,22,121,47*44",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.332772682,1780596971,332410865,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,3,42,24,47,216,43,30,11,049,41,44,10,278,00,49,27,073,43*47",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.333898659,1780596971,333578135,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,4,42,51,19,282,00,303,19,226,37,305,53,277,40,306,17,012,38*78",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.334935354,1780596971,334663466,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,5,42,309,37,355,40,310,31,048,42,311,21,019,34,312,32,077,40*43",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.335905712,1780596971,335643612,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,6,42,316,50,182,45,318,58,306,45,325,33,247,39,331,20,123,44*4D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.336813106,1780596971,336559722,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,7,42,333,11,129,43,412,18,295,43,413,12,140,41,419,15,268,40*44",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.337825663,1780596971,337508039,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,8,42,420,17,315,41,423,10,077,26,427,70,066,46,428,39,129,46*4D",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.338357141,1780596971,338172734,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,9,42,430,31,339,45,66,13,335,43,67,27,279,43,68,13,228,47*73",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.338835130,1780596971,338711018,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,10,42,76,26,112,49,77,40,169,47,78,13,226,43,86,22,143,50*7C",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.339329127,1780596971,339221388,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSV,11,11,42,87,54,110,49,88,36,004,50*78",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.339949136,1780596971,339782017,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181611.30,04,06,2026,00,00*6F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.340722036,1780596971,340630889,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181611.30,2248.9058,S,04703.6548,W,1,32,1.41,634.34,M,-4.166,M,,*72",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.341575858,1780596971,341455833,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181611.30,A,2248.9058,S,04703.6548,W,19.5162,357.485,040626,-21.3,W*54",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.342111132,1780596971,341972153,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.342560766,1780596971,342485561,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181611.30,4.368,4.570,0.839,,,,*41",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.428773870,1780596971,428297542,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181611.40,04,06,2026,00,00*68",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.431010717,1780596971,430839624,20,obu.nmea_navsat_driver,"Received sentence: $GPGGA,181611.40,2248.9053,S,04703.6548,W,1,32,1.41,634.31,M,-4.166,M,,*7B",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.432516422,1780596971,432320372,20,obu.nmea_navsat_driver,"Received sentence: $GPRMC,181611.40,A,2248.9053,S,04703.6548,W,19.5162,357.562,040626,-21.3,W*50",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,69
2026/06/04 15:16:11.433170598,1780596971,433004477,30,obu.nmea_navsat_driver,"Error with sentence: $GPGSA,A,3,6,11,12,14,15,19,20,22,24,30,,,3.3,1.4,3.0*0F",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.433824708,1780596971,433644015,30,obu.nmea_navsat_driver,"Error with sentence: $GPGBS,181611.40,4.368,4.570,0.839,,,,*46",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
2026/06/04 15:16:11.521454804,1780596971,521248977,30,obu.nmea_navsat_driver,"Error with sentence: $GPZDA,181611.50,04,06,2026,00,00*69",/home/toffanetto/v2x/ros2_ws/build/nmea_navsat_driver/src/libnmea_navsat_driver/nodes/nmea_tcpclient_driver.py,main,71
